predictors interp Dz Dt z_max normalisation metric linkage n_clusters CHindex
0 0 2 2 3 1 3 2 3 0.576790543122742
0 0 1 2 3 1 2 2 3 0.5814043956093977
1 1 0 2 1 1 1 5 0 0.6360727751842629
0 1 1 1 3 1 2 2 5 0.5656091178999438
1 1 2 4 3 0 3 5 1 0.44452889142463026
1 0 0 0 0 1 2 2 0 0.672514461426901
1 1 2 4 3 0 1 0 0 0.19055597559142445
0 1 3 3 0 1 1 3 3 0.0014914838181105477
0 1 3 3 0 1 3 2 5 1.0021901694077504
0 1 3 3 3 1 2 1 1 0.5071392410117768
0 0 0 2 3 1 3 2 3 0.5281192160972966
0 0 1 0 1 1 2 4 2 0.8103148827819346
1 0 1 1 1 0 2 2 3 0.5231771598753886
0 0 0 2 2 1 1 0 4 0.5259656030733535
1 1 3 3 2 1 0 2 1 0.6605328542659697
1 1 2 2 3 1 0 0 0 1.659724352665675
1 0 0 1 2 1 2 0 5 0.7944593033298623
0 1 0 4 2 1 0 0 2 0.2807193013057321
1 0 3 3 3 1 0 0 0 1.2496479882657339
0 1 0 2 1 1 1 2 2 0.9600854716616057
1 1 1 4 2 0 3 5 1 0.5170683432454859
1 0 2 1 2 1 3 5 0 0.8447905410706218
0 0 1 2 3 0 0 5 0 0.0906304313686021
0 1 0 0 1 1 1 3 0 0.0005677916644372745
1 1 3 3 2 0 3 0 0 0.3517731831301054
0 1 2 0 1 0 1 2 2 0.6739032785674214
0 0 2 2 2 1 2 5 4 0.5244499684424372
1 0 2 2 1 0 2 5 1 0.5988974755848823
1 1 2 2 3 1 2 3 2 0.039567736514038505
1 1 3 3 1 1 0 0 2 0.8532566188063438
0 0 2 2 2 1 3 5 1 0.6329070488164585
1 1 2 0 2 0 1 5 5 0.5667131490553288
0 1 0 2 3 1 1 5 3 0.5082715280255905
1 1 1 0 0 0 0 5 0 0.10343972771989991
1 1 0 2 0 0 0 5 5 0.6487635816239269
1 0 0 2 1 0 1 5 2 0.47904475215052267
1 0 0 2 1 0 0 5 3 0.5112089781720446
0 0 0 0 1 0 3 5 1 0.588436955894664
0 1 2 2 2 0 0 2 0 0.4193989143056482
0 1 1 4 2 1 2 2 1 0.8243797063318863
1 0 1 2 2 0 3 3 4 0.00339433316511873
0 1 0 0 0 0 2 2 2 0.675500001567321
0 1 2 4 1 0 2 5 4 0.5710443797816536
1 1 1 4 3 1 3 2 1 0.4340842918097053
0 1 2 1 0 1 3 5 1 1.1532156022198745
0 1 2 4 3 1 1 5 1 0.7257768346487303
0 1 0 0 1 0 0 5 3 0.5957867059280425
0 1 1 1 1 0 3 0 1 0.7262031444706045
0 1 1 1 2 1 1 5 4 0.6640937814423838
1 0 3 3 2 0 2 3 4 0.03873760716459986
1 0 2 1 0 0 3 5 3 0.5357946174647779
0 1 0 1 0 0 1 5 4 0.6351924710109264
0 0 0 1 0 1 2 0 4 0.8163054155676792
0 0 0 0 1 1 3 2 4 0.7610634057019361
1 0 2 2 2 1 0 5 1 0.36930852172369694
1 1 1 2 2 1 0 3 3 0.002229678698411178
