C0 C1 Cinter N sigmaAdd sigmaObs sigmaV sigmaX tpsInt rmseW
1.47381 2.142164 6.834834 583.180979 1.181707 1.535829 0.946829 7.828536 16.351853 0.09603
0.391514 2.302439 53.8054 944.189716 0.620126 0.947915 0.970098 7.772931 19.433207 0.071129
2.130214 2.109637 81.675377 1719.307364 1.171539 1.978251 0.493286 2.888202 14.727131 0.054665
2.039566 1.971488 15.707148 1565.880233 0.294368 0.264022 0.94593 9.919745 16.173963 0.022234
1.951483 0.062455 36.610056 1297.268335 0.823959 1.531443 0.78034 7.466398 28.358979 0.047417
0.706502 1.046644 4.062087 452.120717 0.637097 0.361388 0.720693 4.325643 28.879682 0.169312
2.167923 1.979194 53.760373 1242.50622 0.763862 1.434844 0.316276 2.301167 24.031876 0.057793
0.450532 1.905064 19.994294 1204.279045 1.243547 1.346382 0.68244 10.282277 14.857887 0.094581
1.996894 1.806918 16.984702 870.035306 0.263085 1.276419 0.465026 4.711458 5.501515 0.073189
2.081997 0.794285 16.299762 1270.737151 0.910184 0.201545 1.039024 0.218986 21.962621 0.109137
1.940171 2.394217 77.115228 1235.76612 0.534154 1.774643 0.328876 9.150479 22.657875 0.065393
2.300085 0.429601 17.550955 961.130099 1.25584 1.757011 0.703179 9.531051 20.658489 0.082265
0.707236 0.987697 8.896603 1243.689079 1.657917 1.696416 0.842432 2.647079 12.452866 0.104674
0.470945 1.117927 44.054399 785.985075 0.41513 1.577677 0.86298 7.653688 26.657021 0.06587
1.104703 2.160584 70.037189 2022.961691 1.509489 1.742726 0.174836 8.884344 9.312476 0.053637
1.897907 0.919124 35.17332 430.8345 1.521357 0.717099 0.084428 4.227614 25.954241 0.225935
1.173904 2.174128 90.776488 2147.709811 1.272596 1.078829 0.118583 0.879532 21.382022 0.102875
2.324256 0.633246 52.817404 1953.429525 1.377148 2.005039 0.202521 9.901518 26.507831 0.05455
1.200707 1.949818 48.368676 622.012133 1.015684 0.218428 0.052628 10.025778 13.834963 0.176755
0.329769 0.396865 83.23836 1282.677412 0.831383 1.810775 0.39916 2.172488 24.295994 0.058718
0.547698 0.440123 51.24459 1814.543435 1.092276 0.613373 1.020333 2.102781 11.994526 0.077429
2.327459 1.380932 92.192713 854.17141 1.423409 0.624102 0.684762 7.889778 13.47184 0.148494
1.34914 2.1904 83.958306 1653.648003 0.227408 1.560763 0.522054 7.064239 11.889532 0.050513
0.332477 0.505472 88.73028 621.780912 0.633707 0.462838 1.054253 8.219142 22.732206 0.070752
0.434068 2.335195 88.482818 991.332409 1.841638 1.680323 0.995746 9.230635 22.922958 0.266932
0.901372 0.704597 19.022646 1569.955188 1.225914 0.210455 0.543738 0.833429 22.492447 0.127773
1.617207 1.09926 16.659847 761.792459 0.729881 0.60752 0.83721 0.680373 21.795466 0.083262
0.632056 0.028136 42.033704 2138.540521 0.529157 0.928916 0.731985 0.569522 9.292888 0.029788
1.149612 0.052503 32.928651 419.189533 2.074788 0.151118 0.796656 2.320667 17.888143 0.309225
0.613282 1.871003 52.968836 1713.839986 1.578379 0.336558 0.182577 5.822092 29.998078 0.180419
0.441837 0.860616 84.340794 2301.49811 0.89967 2.033979 1.088532 4.043366 20.776499 0.042648
0.537056 0.224646 71.362291 1286.787333 0.226773 1.192318 0.152093 5.183443 15.565671 0.049999
1.68239 1.480853 70.966088 2448.024791 1.228644 0.387364 0.87718 4.641805 22.891991 0.082747
0.988423 1.507836 21.325985 1009.647009 2.093922 0.968817 0.51333 3.241852 10.790803 0.4153
2.084969 0.871711 57.247086 972.929233 0.158667 0.445841 0.529689 8.626128 11.132499 0.025141
0.716018 0.09436 76.546328 875.343887 0.377456 1.929305 0.607072 9.129483 29.206908 0.052996
0.624224 1.610514 17.30786 1678.79083 0.571548 1.855147 0.122766 7.085696 24.465618 0.066461
0.586627 1.285075 32.814586 1915.817437 0.740347 1.134323 0.342157 0.251842 27.091189 0.045211
1.410035 1.790907 68.376339 1905.008183 1.432281 1.32152 0.65919 9.36932 6.614348 0.054695
2.31678 2.058777 68.905079 1332.571643 1.141652 1.224435 0.497732 5.231164 17.474214 0.050395
0.310037 2.405414 74.596225 2208.093382 0.422671 0.330778 0.08197 3.879431 12.597438 0.080915
2.465675 0.523866 82.272847 1106.55179 1.107315 0.969158 0.586485 0.91418 17.785242 0.073628
1.689378 0.074007 79.477444 419.558127 0.986186 0.873142 0.121832 6.385347 19.372243 0.124877
1.93026 1.115621 92.224784 2330.615241 0.316213 1.428753 0.553774 4.887159 19.013971 0.037918
0.389945 2.11725 70.292392 1722.951621 0.366861 0.431141 0.256047 4.894916 20.598872 0.057743
0.923512 0.734275 57.175851 1952.59525 0.959818 1.858644 0.734802 9.852632 27.991182 0.051906
1.906029 1.541055 47.214952 873.978592 1.195866 1.007541 0.013634 9.769069 29.950676 0.083703
0.948736 1.886728 95.517701 985.46817 0.802221 1.497366 0.057934 1.404914 11.496802 0.120804
2.113225 1.655289 44.435258 2484.606625 1.531478 0.411438 0.300266 1.075497 16.687032 0.123447
0.395326 1.538654 48.492518 711.78262 1.057895 1.110775 0.839093 2.260912 11.486539 0.414708
0.818482 0.503053 29.546665 988.689731 0.556806 0.902128 0.27875 1.843133 24.812908 0.052691
2.262972 1.392831 97.327846 1491.757932 2.032608 1.804406 0.126314 5.645506 25.998849 0.089539
0.773228 0.943122 85.88281 1267.878785 1.829197 1.820393 0.030091 6.227021 15.676173 0.068091
1.24062 1.514941 43.078101 1192.514805 1.139936 0.40897 0.511707 10.909557 16.215911 0.115054
1.260004 0.892886 7.474812 676.40663 0.296653 1.807033 0.770012 2.225969 12.98145 0.109542
1.653163 0.245365 60.806856 1133.212521 0.894107 1.570378 0.619876 3.198224 9.177591 0.059114
0.836621 1.258876 72.823433 1863.34483 0.77603 0.8272 0.745541 0.141924 27.653886 0.064719
2.451127 0.545744 21.553014 591.766913 0.930928 1.604972 0.619685 0.21748 20.676975 0.102928
1.728147 1.072286 35.588669 702.650947 0.799975 1.717468 0.12368 4.038101 27.928199 0.097253
2.336846 1.670642 67.682135 945.47633 0.913985 1.19819 0.358028 2.98914 24.600829 0.05756
0.628865 0.316329 3.953408 1978.494254 0.538565 0.362427 0.347191 10.958724 9.64971 0.036095
0.410257 0.841854 87.066112 1081.015448 1.190926 1.134167 0.666715 6.293587 12.972704 0.07639
1.561643 0.015683 32.11279 801.303908 1.238467 0.90398 0.170103 5.568474 11.633947 0.119192
1.362249 0.177594 42.791555 892.579843 1.488333 1.708891 0.65954 0.382471 11.019844 0.104287
1.253721 1.777525 37.258254 1641.021124 1.614528 0.356017 0.585668 10.109617 21.690238 0.163928
1.256011 0.663227 73.67449 1067.886165 1.927812 0.701917 0.31452 3.815512 19.330841 0.183089
0.305568 1.519901 84.261941 2380.001566 0.903014 0.409403 0.507816 4.094494 28.403853 0.112664
1.129547 2.338476 5.727759 434.728291 0.197321 1.18265 0.491382 5.622025 22.92478 0.072282
2.174078 2.234219 77.269822 2181.901226 1.211378 0.649373 0.61858 3.279311 26.544382 0.077277
2.044248 0.98987 93.422688 2429.752536 1.356893 1.89204 0.863099 1.848671 18.189317 0.048959
2.175571 2.482014 71.915021 1872.844259 0.296627 0.691864 0.823323 10.959535 5.215932 0.027576
0.723486 2.458297 38.990379 2160.331392 2.009142 1.015475 0.842794 3.197964 11.008488 0.303707
0.859892 1.146702 21.412646 456.187298 1.316677 1.737645 0.018397 5.464988 7.911766 0.122056
2.49684 0.447535 66.434996 1331.725511 0.322866 0.540745 0.838634 2.07838 15.176115 0.026298
2.480009 2.423199 79.184798 2378.731008 0.228941 1.288557 0.685888 0.00813 12.957827 0.033384
1.124067 1.835473 21.800684 2408.590214 0.847031 0.480995 0.393216 6.114469 28.723944 0.057435
1.959796 1.865393 94.148997 2143.672048 1.653754 2.001161 0.047666 1.525746 6.814479 0.05063
1.664036 0.899811 25.871485 2398.225282 0.85631 1.165658 0.271635 2.955767 16.153893 0.041362
2.103729 1.431028 36.590175 1038.458084 0.203817 1.346272 0.457563 6.631585 10.434058 0.066118
